Title,Authors,Publish Date,Keywords,Abstract
"上医治未病：免费体检计划对老年人医疗服务与健康福利的影响","马超1 赵双雨2 唐润宇3","2023-12-05","新医改;, 免费体检;, 健康管理;, 动态双重差分;","如何在保障老年人健康福利的前提下合理控制医疗费用的快速上涨，是新医改进程中的巨大挑战。正在推行的面向65岁及以上老年人的“免费体检计划”是解决这一难题的潜在方案。本研究利用中国健康与养老追踪调查2011～2018年4期微观数据，在动态双重差分框架下首次考察了该计划的政策效果。研究发现，该计划的实施能使65岁及以上老年人享受免费体检的比率增加16.4个百分点，并能减少他们0.118次月门诊次数和24.1%的月门诊费用，最终使得全年医疗总花费显著下降32.3%。更重要的是，该计划还能够提升老年人的健康福利。在此基础上，本研究利用政策交错进行带来的冲击，创新性地在动态双重差分—工具变量框架下，测算了体检的价值。本文还结合格罗斯曼模型，从理论上提示了健康信息这一机制。最后，本研究通过成本—收益分析，肯定了“免费体检计划”带来的巨大经济收益，提示要在“上医治未病”的哲学理念下，坚持预防为主的健康策略，让医疗资源得到更有效率地运用；并在对依从者特征分析的基础上，建议政策在推广中应加强宣传教育及对低收入群体的引导。"
"大数据决策中数据结构转变：基于杭州城市大脑“交通治堵”应用场景的案例分析","程聪1 严璐璐2 曹烈冰3","2023-12-05","大数据决策;, 数据结构;, 人类认知;, 交通治堵;","数字经济时代，管理决策过程中大数据技术与人类决策预期目标之间割裂现象的不断涌现，逐渐引起了业界和学界的广泛关注。本文构建了一个“数据结构—认知模式”匹配分析框架，并以杭州城市大脑“交通治堵”大数据决策场景为研究对象，来探讨大数据决策过程中人类认知推动数据结构转变的微观基础。研究发现：第一，大数据决策是一个缄默数据、休眠数据和活跃数据3类数据结构共存、转变的演化过程。决策启动阶段的数据结构包括缄默数据、休眠数据和活跃数据；决策发展阶段主要是休眠数据和活跃数据；决策实现阶段仅存在活跃数据一种形态。第二，大数据决策过程中，从决策启动到决策实现存在独特的数据结构与认知模式关系链条。一方面，从决策启动到决策发展阶段，主要通过“认知表征→认知解构”的发展型认知模式来推动缄默数据向休眠数据转变。另一方面，从决策发展到决策实现阶段，主要通过“认知解构→认知重构”的应用型认知模式来推动休眠数据向活跃数据转变。本文关于3类数据结构的划分和人类认知在数据结构转变过程中的作用分析，为解决大数据技术与人类决策预期目标之间的分歧提供了新的分析思路，也为利用大数据提升城市治理体系和治理能力现代化水平提供重要实践启示..."
"《管理世界》电子刊","","2023-12-05","","<正>为促进学术繁荣与发展,《管理世界》推出电子刊,欢迎广大读者订阅。一、收费标准全年电子刊合集(12期)400元,单期电子刊35元。二、订阅方式扫码进入电子刊专题页面进行订阅。三、订阅须知电子刊仅供在线阅读,不支持下载、转发、打印;电子刊为虚拟产品,一经订购不接受退款;如需电子发票,请在订单页面填写发票信息,电子发票将在提交申请后一个月内发送至订单联系人指定的邮箱。"
"聚“碳”成“能”：碳交易政策如何缓解农村能源贫困？","何可1,2 朱信凯1 李凡略2,3","2023-12-05","能源贫困;, 碳交易政策;, 碳达峰;, 碳中和;, 气候变化;","能源贫困和气候变化是人类永续发展面临的相互影响的重大难题。作为世界上最大的发展中国家和碳排放国，中国所面临的“双碳”压力和能源转型挑战尤为严峻。通过构造多维能源贫困指数，本文使用双重差分法评估了碳交易政策对农村能源贫困的影响。研究发现，碳交易政策使试点省（直辖市）的农村能源贫困水平相对于非试点省（自治区）下降了5.0%，这一结论在经过一系列安慰剂检验和稳健性检验后依旧成立。进一步分析发现，碳交易政策能够促进非农就业、改善能源基础设施水平，从而间接缓解农村能源贫困。在全国碳交易市场不断发展完善的背景下，本文不仅有助于科学识别碳交易政策与农村能源贫困之间的因果关系，亦能够为设计兼具改善农村能源贫困功能的碳交易机制提供有益参考。"
"金融系统向实体经济让利政策：效果评价及宏观效应研究 附视频","项后军1 张清俊2 刘文革3 黄一鸣4","2023-12-05","金融系统;, 让利政策;, 结构性让利;, 政策效果;, 宏观效应;","为支持实体经济发展，中国人民银行在新冠疫情期间实施了具有中国特色的金融系统向实体经济让利政策。如何及时评价这一政策的实施效果及其产生的宏观效应，并进一步提出政策改进措施，显然是一个颇有价值的重要问题。有鉴于此，本文基于动态随机一般均衡模型在一个统一框架内研究了3种让利政策，研究发现：（1）在面临不利冲击时，降低再贷款利率让利、增加再贷款额度让利、降低贷款费用让利以及上述3种让利政策的组合政策均可缓解企业所面临的融资约束，从而支持企业生产，缓解产出下降和通胀上升，实现支持实体经济发展的目的；（2）3种让利政策实施效果有所差异，其中增加再贷款额度让利政策的福利损失最小，而3种让利政策的组合使用可进一步改善福利水平；（3）最优让利政策在让利幅度上可以偏向受冲击较严重的小微企业部门，但必须确保所有企业部门都可以享受到让利政策。要使让利政策达到最好的效果，良好的顶层设计与通畅的传导渠道必不可少。"
"留抵退税负担机制、消费地原则与政府增值税收入 附视频","聂海峰1 耿纯2 刘怡3","2023-12-05","留抵退税;, 地区竞争;, 税收返还;, 消费地原则;, 税收收入;","增值税留抵税额的退还增加企业当期现金流，促进企业扩大设备更新和技术改造投资，增强企业持续经营能力。在不完全市场投资模型中引入增值税分析发现，留抵退税有助于扩大企业投资规模，提高消费者福利，实现消费型增值税的投资中性。对于跨地区交易形成的留抵，增值税收入归属和留抵退税负担的不一致导致地区税收输出：退税企业所在地政府若对政策性因素或企业经营不善形成的留抵给予退税，未来无法收回的退税资金会成为对供应商企业所在地政府的补贴。进一步地，在地区之间普遍存在利用税收返还进行招商引资竞争的背景下，地方政府参与留抵退税资金分担，可能导致各地增值税收入都下降。使用地区投入产出表数据模拟测算表明，地方分成部分的增值税按照消费地原则分配可以提供企业所在地负担留抵退税的资金。待增值税立法明确留抵的处理方式后，需要考虑建立长效化的留抵退税负担机制，确保退税负担和税收收益相匹配。地方分成部分的增值税改按消费地原则确定归属，不仅可以实现增值税税收和税源的一致，也可以弱化地方政府为争取流动性税基而进行无序竞争的激励，理顺地方之间的财政关系。"
"农机购置补贴何以影响粮食综合生产能力？——基于农机社会化服务的视角","杨青1 贾杰斐2 刘进3,4 许庆3,4","2023-12-05","农机购置补贴;, 粮食综合生产能力;, 农机社会化服务;","粮食综合生产能力的提升，作为建设农业强国与促进中国式农业现代化的重要内容，离不开农业补贴的支持。本文基于农机社会化服务的视角分析了农机购置补贴如何影响粮食综合生产能力，并利用全国农村固定观察点2007～2018年农户数据进行了实证检验。结果显示，农机购置补贴对粮食的土地生产率、劳动生产率和全要素生产率增长率均有显著的提升作用。机制分析发现，补贴通过促进农机社会化服务市场发育，增大了农户获得农机社会化服务的概率和服务规模，进而影响了粮食综合生产能力。异质性检验表明，补贴的社会化服务功能更有助于提高小农户、非主产区、稻谷和玉米的粮食综合生产能力，这意味着该能力的增长潜力更多倾向在上述农户、地区和作物上。因此，应注重发挥农业补贴的社会化服务功能，给予小农户和粮食非主产区政策倾斜，提高稻谷和玉米的农机社会化服务支持力度，从而实现“藏粮于地、藏粮于技”。"
"数字产品贸易自由化的福利效应及渠道机制研究——来自《信息技术协议》扩表的证据","祝树金1 张谦2 李江3 钟腾龙4","2023-12-05","贸易自由化;, 数字贸易;, 贸易利得;, 溢出效应;, ITA政策;","伴随着数字全球化的快速演进，数字产品贸易自由化已成为促进数字市场健康发展、完善全球数字治理规则的关键性议题。本文围绕数字产品的内在特性，构建寡头竞争模型考察数字产品贸易自由化的福利效应，并将关税影响数字产品贸易福利的作用机制分解为质量效应、竞争效应和溢出效应3个方面；进一步以世界贸易组织（WTO）的《信息技术协议》（ITA）扩表为准自然实验，采用全球166个国家或地区2010～2018年产品贸易数据，运用双重差分和三重差分方法进行实证分析和机制检验。研究结果表明，ITA扩表政策使成员国相对于非成员国数字产品的贸易福利变化要高出20.1%，尤其是使信息通信（ICT）产品的贸易福利变化高出非ICT产品15.1%，表明ITA扩表政策能够在国家和产品层面显著改善数字产品的贸易福利。渠道机制分析表明，质量升级有利于提升贸易福利，竞争效应倾向于降低贸易福利，而溢出效应的影响则取决于关税水平的高低。同时，这3种机制均有助于增强关税变化对贸易福利的边际影响，最终使得贸易福利呈现非线性的变化趋势。在政策层面上，应关注数字产品的溢出特性，协调不同政策的作用效果，打造公平开放共赢的数字贸易新格局。"
"数字经济情境下企业战略选择与数字平台生态系统构建——基于共演视角的案例研究","焦豪 张睿 杨季枫","2023-12-05","数字经济;, 战略选择;, 数字平台生态系统;, 共演视角;","企业如何通过战略选择行动构建数字平台生态系统，成为数字经济情境下亟需解决的难题。本研究阐明数字经济情境下战略选择与数字平台生态系统共演的过程模型，表明企业可以动态实施战略选择行动以构建数字平台生态系统。初始创建阶段，企业主要受数字技术驱动，通过供需匹配为核心的交易模块设计、新颖导向的数字身份塑造和透明开放的沟通制度确立的资源拼凑战略，构建基于明星产品的数字平台生态系统；规模扩展阶段，企业主要受数字消费者驱动，通过整合嵌入为核心的指导模块设计、互补导向的数字身份塑造和边界明确的技术制度确立的系统集成战略，构建基于组合产品的数字平台生态系统；跨界扩张阶段，企业主要受数字竞争驱动，通过跨界融合为核心的标准模块设计、包容导向的数字身份塑造和基于价值共创的合作制度确立的生态编排战略，构建基于场景化产品的数字平台生态系统。一方面，基于环境选择逻辑，外部数字经济情境变化触发主导企业实施相匹配的战略选择行动并构建数字平台生态系统；另一方面，基于组织适应逻辑，主导企业主动实施战略选择行动并构建同一阶段的数字平台生态系统，且当期的数字平台生态系统构建作为战略决策结果，进而影响了跨期的战略选择和相对应的数字..."
"外部企业股东与学术衍生企业的技术市场化：基于制度逻辑视角","邱姝敏1 高雨辰2 柳卸林3,4 薛澜2","2023-12-05","学术衍生企业;, 制度逻辑;, 注意力焦点;, 技术市场化;","在我国日益强调产学研深度融合的背景下，如何促进大学与科研院所的技术向市场转移尤为重要。本文基于2008～2017年间601家中国科学院衍生企业的数据，研究了引入具有市场逻辑的外部企业股东如何影响学术衍生企业的技术市场化问题。实证结果表明，引入外部企业股东可以有效促进衍生企业的技术市场化。同时，当外部企业股东来自非国有经济发展程度越高的行业或地区，或为非国有企业时，它的市场逻辑越强，对衍生企业的技术市场化促进作用也越强。研究认为，外部企业股东强化了学术衍生企业的市场逻辑，改变了其在研发中的注意力焦点分配，进而影响并塑造了组织实践。本文从制度逻辑出发，丰富了对学术衍生企业创新和成长性的理解，同时对制度逻辑变革和组织间合作关系的相关研究做出了重要拓展。同时，本文在我国强调高质量发展的背景下，为保障衍生企业的长期发展，引导其向市场化顺利过渡提供了重要的政策启示。"
"大国重器研制的关键核心技术突破——东方电气集团G50重型燃气轮机纵向案例研究","赵长轶1 谢洪明2 郭勇3 孔祥林3","2023-12-05","大国重器;, 关键核心技术;, 印记;, 资源编排;, 创新管理;","大国重器关键核心技术的创新管理研究具有鲜明的中国特色和紧迫的现实意义。后发国家的企业在大国重器研制中实现关键核心技术突破，往往受制于技术基础和吸收能力不足而困难重重。如何通过发挥组织印记与资源编排的动态耦合作用破解关键核心技术突破难题成为关键。本文通过对东方电气集团的G50重型燃气轮机研制的纵向案例研究，分析了组织印记与资源编排在大国重器核心技术的创新管理中的动态耦合关系，提出了中国企业突破大国重器关键核心技术的过程演进模型。本文探索了特定组织印记的能动作用、演化过程及与资源编排的多阶段动态耦合机理，识别出企业在印记能动作用下实现大国重器关键核心技术突破的3种资源编排方式，对处在新发展阶段的中国企业强化创新主体地位、提升关键核心技术攻关能力具有启示意义。"
"遏制“脱实向虚”的稳杠杆效应：机制分析与效果评估 附视频","陈伟泽1 刘哲希2 郭俊杰3","2023-12-05","宏观杠杆率;, 脱实向虚;, 资产泡沫;, 安全资产;","传统的稳杠杆方式主要是从宏观杠杆率的债务端或产出端入手，即降低债务增速或提高经济增速，但从实践来看这两类方式的稳杠杆效果并不理想。党的十九大以来，中国通过加大遏制“脱实向虚”的力度使宏观杠杆率趋稳，这为稳杠杆提供了新思路。第一，存在“脱实向虚”问题时，从债务端和产出端调控宏观杠杆率，均难以实现社会最优均衡，会面临稳增长和稳杠杆的两难。第二，遏制“脱实向虚”的稳杠杆机制在于，通过资产端的再配置效应提高债务乘数效应，从而兼顾稳增长与稳杠杆。但要注意的是，遏制“脱实向虚”程度与稳杠杆效果呈U型关系，需要把握遏制力度。第三，由于现实中存在信息约束，遏制“脱实向虚”不能仅依靠金融监管，通过增加安全资产供给与降低宏观税负等其他方法能有效改善遏制“脱实向虚”的稳杠杆效果。本文突破了既有研究从债务端与产出端探索稳杠杆路径的局限，从资产结构视角论证了稳杠杆的新理论机制，为中国稳杠杆政策的实践创新提供了理论支撑，并为如何更好地推动宏观杠杆率稳中有降提供了新的政策思路。"
"工业机器人应用与劳动关系：基于司法诉讼的实证研究","张军1 闫雪凌2 余沭乐1 张雪原3","2023-12-05","劳动关系;, 工业机器人;, 司法诉讼;","伴随工业机器人的加速渗透和广泛应用，劳动关系变革背后的技术性因素日益引发关注。本文通过手工整理2013～2019年A股上市公司劳动争议司法诉讼案件数据，从劳动关系的视角考察了工业机器人应用对劳动力市场的深远影响。研究发现，工业机器人应用虽然在整体上导致劳动关系发生一定程度的恶化，但这种影响因技术进步偏向呈现出明显的异质性。在不同的企业和劳动者群体中，劳动关系受到的负面影响有所减弱、消失甚至出现反转。进一步分析表明，相比于工业机器人应用给劳动者带来的失业风险，企业下调工资水平和减少隐性福利是导致劳动关系恶化的主要渠道。本文的发现有助于深化对工业机器人应用经济后果的理解，也为精准评估人机适配状况，进而统筹推进产业智能化与高质量充分就业提供了政策启示。"
"人工智能技术冲击和中国职业变迁方向","王林辉 钱圆圆 周慧琳 董直庆","2023-11-05","人工智能;, 职业变迁方向;, 职业平等性;","随着人工智能技术在生产生活中的广泛应用，新的职业场景不断涌现，新旧职业更替也日趋频繁。但现有文献并未关注人工智能引致的职业变迁方向，以及技术冲击下的职业平等性问题。基于此，本文在分析中国职业变迁典型化事实的基础上，采用微观调查数据检验人工智能技术在职业变迁过程中的作用，从职业类型、任务属性和职业技能等方面，识别人工智能引发的职业变迁方向；从职业收入、就业稳定性、工作满意度以及职业地位等维度，探究人工智能对不同技术复杂度职业的影响差异。研究发现，人工智能技术能够诱发职业变迁，引致劳动者从传统职业转向新职业和数字职业，也会重塑职业任务属性，促使任务向非繁重、精简化和自由化方向发展；人工智能技术的“再技能化”效应会拓展职业技能宽度，而其“去技能化”效应则会降低技能深度；人工智能技术也会推动职业地位向上流动，但对不同技术复杂度职业的工资收入、工作稳定性与满意度会产生差异化影响，进而对职业平等性形成冲击。"
"悬浮的项目包：中国农村基本公共卫生服务的制度演进与实践逻辑 附视频","徐陈晰1 焦长权2","2023-11-05","基本公共卫生服务;, 项目包;, 以县为主;, 悬浮;","基本公共卫生服务是国家基本公共服务体系和医疗卫生改革的重要组成部分，通过项目制的治理方式实现自上而下的运行实践。在财政管理体制上，基本公共卫生服务专项资金通过“因素法”在中央和地方各级政府间分配管理，最终由县级主管部门统筹支出。在“以县为主”的医疗卫生公共服务体系下，层级化的服务分工、项目化的经费补助与指标化的绩效考核紧密联系。在乡村基层实践中，项目制内含的技术治理和规范化取向通过档案管理渗透到服务供给过程中，档案成为上下“共谋”的操作对象。这一过程中，项目意图和群众需求产生偏差，标准化的信息系统与多元化的乡土社会发生错位，服务实践与日常生活和村庄治理有所分离，造成了项目包“悬浮”于乡土社会的意外后果。"
"中央生态环保督察如何生成地方生态环境治理成效？——基于岱海湖治理的长时段过程追踪","姜雅婷1 杜焱强2","2023-11-05","中央生态环境保护督察;, 生态文明建设;, 制度优势;, 过程追踪;, 因果机制;","作为我国生态环境治理领域的一项重大体制创新和改革举措，中央生态环境保护督察制度运行8年以来取得了显著成效；然而，关于其制度成效如何生成的因果机制尚未被揭示。本文运用理论建构型过程追踪对内蒙古自治区岱海湖治理过程展开长时段纵向跟踪研究，研究发现：中央生态环保督察与地方生态环境治理成效间存在由“情境建构—行为调适—效能生成”3个部件持续互动所构成的因果机制；其中，制度成效取得的关键在于“压力—能力—动力”逻辑，这一逻辑不仅实现了环境治理委托—代理机制下央地纵向关系的良性运转，而且体现了环境保护与经济发展的内在统一。本文从过程研究范式出发创新性地识别了中央生态环保督察“制度—成效”间的因果机制，不仅有助于理解中央生态环保督察制度优势何以转化为治理效能，为推进生态环境治理体系和治理能力现代化、发展中国特色生态环境治理模式提供了借鉴与启示，也为解决西方语境下环境治理委托—代理困境、形成具有中国话语意义的理论思考提供了方向。"
"异质性政策效应评估与机器学习方法：研究进展与未来方向","陶旭辉1,2 郭峰3,4","2023-11-05","政策效应评估;, 异质性处理效应;, 机器学习;, 大数据;","对公共政策的准确评估，是制定科学公共政策的重要前提，科学的公共政策将有助于促进国家治理体系和治理能力现代化。异质性政策效应评估作为一种新兴的研究范式，其重要性在政策效应评估文献中已经获得广泛认可。本文总结了异质性政策效应评估的重要价值，以及代表性传统方法的逻辑和局限性。在此基础上，文章重点梳理了机器学习方法在异质性政策效应评估中的重要价值和具体应用：更好地筛选和切分异质性变量、更好地评估多重异质性政策效应、更好地估计个体政策效应等。本文也指出机器学习在异质性政策效应评估的算法可接受性、过程可检验性以及结论稳健性中存在局限性。进一步，文章提出了异质性政策评估和机器学习的重点发展方向：引入和发展机器学习方法，重视异质性政策评估的政策价值及提升机器学习的可接受性；结合传统分析范式，拓展机器学习在异质性政策评估中的新模式；规范研究数据的采集和处理，推动数据和代码的公开透明等。"
"内蒙古财经大学工商管理学院简介","","2023-11-05","","<正>内蒙古财经大学是一所以本科和研究生教育为主、同时承担高等职业教育、继续教育培养任务,以经济学、管理学为主,理学、法学、文学、工学协调发展,具有鲜明财经特色的多科性应用研究型财经大学。作为我国民族地区高等财经教育的开创者、实践者和探索者,学校始终坚持为党育人、为国育才,坚持扎根边疆、服务西部,大力培养忠诚党的事业、具备国际视野、富有家国情怀、投身财经实践的杰出人才,为自治区乃至全国培养了大量各级各类人才,他们已经成为自治区财政、审计、金融、税务、工商企业等系统中的骨干与中坚力量,积极服务自治区“两个屏障”“两个基地”和“一个桥头堡”建设,为社会发展、边疆稳定、民族团结做出了重要贡献。"
"《管理世界》电子刊","","2023-11-05","","<正>为促进学术繁荣与发展,《管理世界》推出电子刊,欢迎广大读者订阅。一、收费标准全年电子刊合集(12期)400元,单期电子刊35元。二、订阅方式扫码进入电子刊专题页面进行订阅。三、订阅须知电子刊仅供在线阅读,不支持下载、转发、打印;电子刊为虚拟产品,一经订购不接受退款;如需电子发票,请在订单页面填写发票信息,电子发票将在提交申请后一个月内发送至订单联系人指定的邮箱。"
"基于组织印记触发的集团子公司价值共创决策逻辑：海信聚好看的纵向案例研究","王琳1 刘锡禄2 陈志军2","2023-11-05","价值共创;, 组织印记;, 决策逻辑;, 创业拼凑;, 精益创业;","面对日益复杂多变的商业环境，企业难凭一己之力获得成长，携手各利益相关方进行价值共创成为企业求生存、图发展的不二选择。现有价值共创研究多集中于具有一定规模的单体企业或平台企业，忽略了处于更加复杂决策情境下的集团子公司。本文采用探索式纵向案例研究方法，探究子公司在不同发展阶段的特定组织印记如何触发价值共创的决策逻辑。研究发现，在“拓荒牛”阶段，在集团战略指导且子公司资源禀赋劣势的印记触发下，子公司通过创业拼凑策略进行价值共创；在“独角兽”阶段，在集团战略布局且子公司资源禀赋优势的印记触发下，子公司则通过精益创业策略进行价值共创。同时，本文重新阐释了效果和因果两种决策逻辑，认为创业拼凑是效果逻辑指导下的价值共创策略，精益创业是因果逻辑指导下的价值共创策略，并从组织印记方面深化了对子公司价值共创决策逻辑的理解，对指导子公司创新价值共创模式、实现业务转型升级具有一定价值。"
"集聚网络视角下企业数字化的生产率提升效应研究","韩峰1 姜竹青2","2023-11-05","企业数字化;, 集聚网络;, 全要素生产率;, 空间互动;, 知识外溢;","数字化转型改变的不仅仅是企业的生产方式和资源配置模式，还会赋予企业的空间集聚形态以更为明显的网络特性。本文在社会网络理论和空间经济理论基础上构建企业数字化和集聚网络影响全要素生产率的理论分析框架，进而基于2001～2020年沪深上市制造业企业和城市面板数据的匹配数据检验了企业数字化和集聚网络对全要素生产率的影响效应。结果显示，企业集聚网络对全要素生产率的有效空间作用边界为50公里，该范围内企业数字化和集聚网络均有助于全要素生产率提升，且二者在推进生产率提升中还具有明显的协同效应和相互强化作用。进一步研究发现，知识外溢效应是企业数字化和集聚网络推动全要素生产率提升的重要机制，且多样化知识外溢的作用明显强于专业化知识外溢；集群内知识学习网络的发展、国家电子商务示范城市试点和金融危机冲击均有效强化了企业数字化和集聚网络对全要素生产率的提升效应及其协同效应；企业数字化和集聚网络对全要素生产率的影响还具有明显的异质性特征，依赖于企业所在行业类型及所有制性质等方面。本文不仅为研究数字化转型的微观经济效应提供了新的视角，也为数字经济下的企业集聚形态转变提供了证据。"
"行业集中与风格均衡：双向助力基金价值创造","田正磊1 刘洋溢2 罗荣华3","2023-11-05","行业集中度;, 风格集中度;, 价值创造;, 基金业绩;, 规模报酬递减;","本文首次发现行业和风格这两个最重要的资产组合结构特征都显著影响了基金的价值创造，但它们的影响方式截然不同，基金资产组合的行业集中度越高未来业绩越好，但风格则是越均衡未来业绩越好。本文的理论分析和实证结果都表明，这一结果是在规模报酬递减规律下，由于股票行业与股票风格之间聚类划分的差异所带来的。本文进一步分析了两个特征与基金价值创造的两个基本来源之间的关系，结果显示，行业上的集中侧重体现基金搜寻盈利机会的能力，风格上的均衡侧重体现基金应对规模报酬递减的能力，两种能力协同的基金具有更强的有效主动性，能更好地实现价值创造。实证结果还显示，有选股能力的基金往往采取高集中度策略，因而搜寻盈利机会的能力较强但应对规模报酬递减的能力不佳，而有择时能力的基金则相反。此外，在短期业绩压力之下，基金往往更加注重行业集中所带来的短期利益，却忽视了风格均衡所产生的长期价值，从而导致基金承担了过大的风险。本文的结论不但有助于加深对我国基金行为特征的理解，从而更好地评价和筛选出优秀基金，也有助于理解“基金赚钱、基民不赚钱”的难题，为基金行业高质量发展过程中的价值创造路径提供参考。"
"减税激励与异质性投资反应：来自小微企业的证据","冯晨1 刘冰2 叶永卫2","2023-11-05","小微企业;, 减税激励;, Bunching-DiD;, 投资;","在我国现行的结构性减税政策背景下，探索减税政策对企业的投资效应具有重要意义，尤其需关注对小微企业的实质作用。本文利用一种全新的群聚—双重差分（Bunching-DiD）识别框架，探究了我国针对小微企业的规模性减税优惠对其投资行为的异质性影响。结果发现，减税会促使高应税收入企业在政策门槛处形成群聚，但不具备明显的投资反应，而对于政策目标对象——低应税收入的小微企业而言，其在减税激励下缓解了融资约束压力，具有显著的经营性投资效果。最后，我们还发现此轮减税政策具有较强的普惠性特征，并对小微企业的生产率、就业规模及经营绩效等方面都具有明显作用。本文研究为理解企业减税效应及其异质性投资偏向具有一定价值。"
"从恶性循环到良性循环：组织变革中授权与控制悖论动态演化研究","林海芬1,2 胡严方1,2","2023-11-05","组织变革;, 授权与控制;, 悖论动态演化;, 权力;, 恶性循环;, 良性循环;","组织变革是一个凸显组织多重矛盾态势，并对此做出响应以扭转悖论关系恶性发展态势的过程。伴随变革过程中组织结构和管理流程的优化，权力管理模式做出调整，进而影响变革实施及结果，这种交互影响关系使得嵌入权力管理模式中的授权与控制矛盾态势尤为凸显。因此如何实现授权与控制悖论关系从恶性循环到良性循环的转变，成为组织变革的关键。本研究以竹叶青茶业2016～2022年的持续性变革实践为研究对象，揭示组织变革中授权与控制悖论关系的动态演化过程。研究发现：（1）变革过程中，伴随着权力架构和管理者个体响应的变化，授权与控制悖论动态的演化历经“变革发起阶段：悖论动态的混沌”→“变革探索阶段：悖论动态的有序”→“变革系统化阶段：悖论动态的跃迁”3个阶段，实现从偏执于控制一极的恶性循环向均衡授权与控制的良性循环转变。（2）组织权力架构经过“胁迫的减轻”→“情景—系统权力的减轻”→“情景—系统权力的重塑”3个环节，促成了授权与控制悖论要素实现“冲突→接纳→融合”的转变。（3）因所处权力情境不同，高层和中低层管理者面对授权与控制矛盾态势时展现出卡夫卡式、非此即彼式、兼容并蓄式或超越式等不同响应方式，呈现从排斥防御到逐..."
"后发企业如何利用全球生产网络构建自主产品开发平台？——对长城汽车氢能技术产品开发的纵向案例研究","周麟1 贺俊2 兰宗敏3 李志斌4","2023-11-05","自主产品开发平台;, 全球生产网络;, 产品层次知识学习;, 后发企业;, 案例研究;","自主产品开发平台是企业开展复杂技术产品创新的关键载体，但少有研究对后发企业究竟是如何“从无到有”构建自主产品开发平台展开深入探讨。本文置身于中国复杂技术追赶情境，通过对长城汽车氢能技术产品开发的纵向案例研究发现，后发企业可以利用基于企业内协调策略有序布局的全球生产网络驱动自主产品开发平台实现“定义→形成→递进”渐次构建，而内嵌在“全球—地方”组织安排中并历经“导入式→共创式→整合式”模式演进的产品层次技术学习是这一过程的关键。进一步而言，全球化人才引进的追赶起点选择和网络化组织关系的动态调控能够助推后发企业连续、高效开展产品层次知识学习，获得起点更高、速度更快的自主产品开发平台构建效果。据此建构的理论模型从全球生产网络视角发展了产品开发平台理论，也为处于复杂技术领域的中国后发企业利用全球创新资源构建自主产品开发平台，加快实现产品层次自立自强提供了管理启示。"
"城乡融合的收入和福利效应研究——基于要素配置的视角","郭冬梅 陈斌开 吴楠","2023-11-05","城乡融合;, 收入和福利;, 要素配置;, 一般均衡;, 政策联动;","城乡融合是加快建设全国统一大市场、缩小城乡差距不可或缺的重要环节。基于我国城乡差距和土地要素配置的典型事实，本文构建了包含城乡人口流动、建设用地流转和内生公共服务供给的一般均衡模型；并从要素配置视角量化分析了户籍制度改革、公共服务均等化和土地市场一体化，以及多项政策组合对城乡居民收入与福利等方面的影响。研究表明，降低劳动力流动成本、促进公共服务均等化和建立城乡建设用地流转制度可以缩小城乡差距。但是，单一市场的改革可能造成部分群体福利受损，导致改革面临阻力；将土地市场改革和劳动力市场改革联动，不仅可以提升人口和土地的要素配置效率，还可以同时提高城乡居民收入和福利水平，缩小城乡差距。本文的政策含义在于，推动城乡融合需要在一般均衡视角下进行制度改革的顶层设计，形成户籍制度改革、公共服务均等化和土地市场一体化的政策联动。"
"共建“一带一路”与互联互通深化——基于沿线国家间的视角 附视频","周茂1 武家辉1 李雨浓1 李丁2","2023-11-05","共建“一带一路”倡议;, 互联互通;, 沿线国家;","推动共建“一带一路”高质量发展要求要持续深化互联互通，与以往研究主要关注中国与沿线国家间联通不同的是，本文从沿线国家之间联通的更宽视野为共建“一带一路”倡议下互联互通深化提供了典型事实和经验证据。本文结合复杂网络分析和双重差分法全面有效评析了共建“一带一路”倡议对沿线国家之间以“五通”为主要内容互联互通的影响。研究发现：（1）共建“一带一路”倡议推动了沿线国家之间全方位、多层次、复合型互联互通网络的构建，具体表现为2014年倡议实施后“五通”网络规模持续扩大、网络密度不断提高、节点联系更加紧密，并且沿线国家联通网络中的中国“桥梁”作用明显。（2）因果效应评估表明，共建“一带一路”倡议显著增强了沿线国家之间互联互通的程度，这一结论在考虑识别假设条件以及一系列稳健性检验后依然可靠。（3）共建“一带一路”倡议的互联互通效应具有异质性，体现为海上丝绸之路国家之间相较于陆上丝绸之路国家之间，除民心相通以外的其他联通效应均更加突出；收入差距较大的国家之间，政策沟通、资金融通效应更突出，而收入差距较小的国家之间，设施联通、贸易畅通、民心相通的效应更突出；与中国综合距离临近国家之间相较于非临近国家之间..."
